term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Conservation Unit,"A group of fish sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe.",Canada's Policy for Conservation of Wild Pacific Salmon Glossary.,Canada's Policy for Conservation of Wild Pacific Salmon Glossary.,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/policy-politique-eng.html#glossary,Reporting or management stratum (subClassOf) [https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum],https://w3id.org/gcdfo/salmon#ConservationUnit,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ConservationUnit,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,e167f284104f41fe20bc79eec30d3ae1d25b0613969531080516c17b8b61294d
Hatchery-origin,Individuals that were born or reared in a hatchery facility.,DFO. (2018). Review of genetically based targets for enhanced contributions to Canadian Pacific Chinook Salmon populations. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2018/001. (Erratum: October 2023),DFO. (2018). Review of genetically based targets for enhanced contributions to Canadian Pacific Chinook Salmon populations. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2018/001. (Erratum: October 2023),,Salmon origin (broader) [https://w3id.org/gcdfo/salmon#SalmonOrigin]; Salmon Origin Scheme (inScheme) [https://w3id.org/gcdfo/salmon#SalmonOriginScheme],https://w3id.org/gcdfo/salmon#HatcheryOrigin,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#HatcheryOrigin,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,e167f284104f41fe20bc79eec30d3ae1d25b0613969531080516c17b8b61294d
Salmon origin,"Origin category describing whether salmon are naturally produced, hatchery produced, or mixed-origin.",,,,Salmon Origin Scheme (inScheme) [https://w3id.org/gcdfo/salmon#SalmonOriginScheme],https://w3id.org/gcdfo/salmon#SalmonOrigin,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#SalmonOrigin,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,e167f284104f41fe20bc79eec30d3ae1d25b0613969531080516c17b8b61294d
Salmon Origin Scheme,"Controlled vocabulary for describing the origin of individual salmon (e.g., natural-origin, hatchery-origin, mixed-origin).",,,,,https://w3id.org/gcdfo/salmon#SalmonOriginScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#SalmonOriginScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,e167f284104f41fe20bc79eec30d3ae1d25b0613969531080516c17b8b61294d
